[INFO ] [2021-11-18 22:59:51,110] Pre-condition - Step 01: Open browserfirefox
[INFO ] [2021-11-18 22:59:57,493] TC_01_Register - Step 01: Open Register link
[INFO ] [2021-11-18 22:59:58,835] TC_01_Register - Step 02: Click to Gender Male radio
[INFO ] [2021-11-18 22:59:59,148] TC_01_Register - Step 03: Click to FirstName textbox
[INFO ] [2021-11-18 22:59:59,224] TC_01_Register - Step 04: Click to LastName textbox
[INFO ] [2021-11-18 22:59:59,295] TC_01_Register - Step 05: Select Day dropdown
[INFO ] [2021-11-18 22:59:59,592] TC_01_Register - Step 06: Select Day dropdown
[INFO ] [2021-11-18 22:59:59,895] TC_01_Register - Step 07: Select Day dropdown
[INFO ] [2021-11-18 23:00:00,224] TC_01_Register - Step 08: Click to Email textbox
[INFO ] [2021-11-18 23:00:00,297] TC_01_Register - Step 09: Click to Company textbox
[INFO ] [2021-11-18 23:00:00,366] TC_01_Register - Step 10: Click to Password textbox
[INFO ] [2021-11-18 23:00:00,434] TC_01_Register - Step 11: Click to ConfirmPassword textbox
[INFO ] [2021-11-18 23:00:00,502] TC_01_Register - Step 12: Click to Register button
[INFO ] [2021-11-18 23:00:02,575] TC_01_Register - Step 13: Verify Register success message is displayed
[INFO ] [2021-11-18 23:00:02,659]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-11-18 23:00:02,660] TC_01_Register - Step 14: Click to logout button
[INFO ] [2021-11-18 23:00:04,146] TC_02_Login - Step 01: Click to Login link
[INFO ] [2021-11-18 23:00:05,201] TC_02_Login - Step 02: Enter to Email textbox
[INFO ] [2021-11-18 23:00:05,282] TC_02_Login - Step 03: Enter to Password textbox
[INFO ] [2021-11-18 23:00:05,348] TC_02_Login - Step 04: Click to Login button
[INFO ] [2021-11-18 23:02:41,949] Pre-condition - Step 01: Open browserfirefox
[INFO ] [2021-11-18 23:02:47,917] TC_01_Register - Step 01: Open Register link
[INFO ] [2021-11-18 23:02:49,335] TC_01_Register - Step 02: Click to Gender Male radio
[INFO ] [2021-11-18 23:02:49,636] TC_01_Register - Step 03: Click to FirstName textbox
[INFO ] [2021-11-18 23:02:49,711] TC_01_Register - Step 04: Click to LastName textbox
[INFO ] [2021-11-18 23:02:49,778] TC_01_Register - Step 05: Select Day dropdown
[INFO ] [2021-11-18 23:02:50,083] TC_01_Register - Step 06: Select Day dropdown
[INFO ] [2021-11-18 23:02:50,374] TC_01_Register - Step 07: Select Day dropdown
[INFO ] [2021-11-18 23:02:50,690] TC_01_Register - Step 08: Click to Email textboxhoamt-1001173549@gmail.com
[INFO ] [2021-11-18 23:02:50,761] TC_01_Register - Step 09: Click to Company textbox
[INFO ] [2021-11-18 23:02:50,828] TC_01_Register - Step 10: Click to Password textbox123456987
[INFO ] [2021-11-18 23:02:50,899] TC_01_Register - Step 11: Click to ConfirmPassword textbox
[INFO ] [2021-11-18 23:02:50,967] TC_01_Register - Step 12: Click to Register button
[INFO ] [2021-11-18 23:02:52,935] TC_01_Register - Step 13: Verify Register success message is displayed
[INFO ] [2021-11-18 23:02:53,017]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-11-18 23:02:53,018] TC_01_Register - Step 14: Click to logout button
[INFO ] [2021-11-18 23:02:54,446] TC_02_Login - Step 01: Click to Login link
[INFO ] [2021-11-18 23:02:54,914] TC_02_Login - Step 02: Enter to Email textbox
[INFO ] [2021-11-18 23:02:54,994] TC_02_Login - Step 03: Enter to Password textbox
[INFO ] [2021-11-18 23:02:55,059] TC_02_Login - Step 04: Click to Login button
[INFO ] [2021-11-18 23:13:47,713] Pre-condition - Step 01: Open browserfirefox
[INFO ] [2021-11-18 23:13:54,243] TC_01_Register - Step 01: Open Register link
[INFO ] [2021-11-18 23:13:55,807] TC_01_Register - Step 02: Click to Gender Male radio
[INFO ] [2021-11-18 23:13:56,110] TC_01_Register - Step 03: Click to FirstName textbox
[INFO ] [2021-11-18 23:13:56,197] TC_01_Register - Step 04: Click to LastName textbox
[INFO ] [2021-11-18 23:13:56,266] TC_01_Register - Step 05: Select Day dropdown
[INFO ] [2021-11-18 23:13:56,556] TC_01_Register - Step 06: Select Day dropdown
[INFO ] [2021-11-18 23:13:56,840] TC_01_Register - Step 07: Select Day dropdown
[INFO ] [2021-11-18 23:13:57,128] TC_01_Register - Step 08: Click to Email textboxhoamt252137971@gmail.com
[INFO ] [2021-11-18 23:13:57,197] TC_01_Register - Step 09: Click to Company textbox
[INFO ] [2021-11-18 23:13:57,268] TC_01_Register - Step 10: Click to Password textbox123456987
[INFO ] [2021-11-18 23:13:57,351] TC_01_Register - Step 11: Click to ConfirmPassword textbox
[INFO ] [2021-11-18 23:13:57,422] TC_01_Register - Step 12: Click to Register button
[INFO ] [2021-11-18 23:13:59,172] TC_01_Register - Step 13: Verify Register success message is displayed
[INFO ] [2021-11-18 23:13:59,262]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-11-18 23:13:59,264] TC_01_Register - Step 14: Click to logout button
[INFO ] [2021-11-18 23:14:00,620] TC_02_Login - Step 01: Click to Login link
[INFO ] [2021-11-18 23:14:01,050] TC_02_Login - Step 02: Enter to Email textbox
[INFO ] [2021-11-18 23:14:01,128] TC_02_Login - Step 03: Enter to Password textbox
[INFO ] [2021-11-18 23:14:01,192] TC_02_Login - Step 04: Click to Login button
[INFO ] [2021-11-21 00:12:17,184] Pre-condition - Step 01: Open browserfirefox
[INFO ] [2021-11-21 00:12:27,862] TC_01_Register - Step 01: Open Register link
[INFO ] [2021-11-21 00:12:29,762] TC_01_Register - Step 02: Click to Gender Male radio
[INFO ] [2021-11-21 00:12:30,204] TC_01_Register - Step 03: Click to FirstName textbox
[INFO ] [2021-11-21 00:12:30,395] TC_01_Register - Step 04: Click to LastName textbox
[INFO ] [2021-11-21 00:12:30,572] TC_01_Register - Step 05: Select Day dropdown
[INFO ] [2021-11-21 00:12:30,997] TC_01_Register - Step 06: Select Day dropdown
[INFO ] [2021-11-21 00:12:31,418] TC_01_Register - Step 07: Select Day dropdown
